Load time for (selenium)Home screen:37.129second
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 0.808 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 0.808 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.73420150537E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 5.253 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 5.253 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.734201515823E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.845 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.845 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 0.845 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 0.845 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734202111964E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 4.412 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 4.412 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.734202125358E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.829 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.829 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 0.829 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 0.829 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734202573875E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 3.913 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 3.913 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.734202583559E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.793 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.793 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 0.793 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 0.793 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734203217069E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 5.017 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 5.017 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.734203227889E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.943 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.943 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 0.943 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 0.943 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734203398459E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 4.382 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 4.382 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.73420340864E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 1.032 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 1.032 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 1.032 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 1.032 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734203821454E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 4.106 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 4.106 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.734203834218E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.887 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.887 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 0.887 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 0.887 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734204384539E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 4.041 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 4.041 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.734204394388E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.994 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.994 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 0.994 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 0.994 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734205214619E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 4.241 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 4.241 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.73420522414E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.934 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.934 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 0.934 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 0.934 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734205328633E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 4.477 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 4.477 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.734205338644E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.834 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.834 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 0.834 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 0.834 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.73420538739E9 seconds
